PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"27614982","CCL21 and IP-10 as blood biomarkers for pulmonary involvement in systemic lupus erythematosus patients","Odler B, Bikov A, Streizig J, Balogh C, Kiss E, Vincze K, Barta I, Horváth I, Müller V.","Lupus. 2017 May;26(6):572-579. doi: 10.1177/0961203316668418. Epub 2016 Sep 10.","Odler B","Lupus","2017","2016/09/12","","","10.1177/0961203316668418"
"32093519","Quality of life in patients with systemic lupus erythematosus: the mediator role of psychological morbidity and disease activity","Pereira MG, Duarte S, Ferraz A, Santos M, Fontes L.","Psychol Health Med. 2020 Dec;25(10):1247-1257. doi: 10.1080/13548506.2020.1728350. Epub 2020 Feb 24.","Pereira MG","Psychol Health Med","2020","2020/02/26","","","10.1080/13548506.2020.1728350"
"24834763","Type I interferon signature in systemic lupus erythematosus","Bezalel S, Guri KM, Elbirt D, Asher I, Sthoeger ZM.","Isr Med Assoc J. 2014 Apr;16(4):246-9.","Bezalel S","Isr Med Assoc J","2014","2014/05/20","","",""
"22170761","Immune function and brain abnormalities in patients with systemic lupus erythematosus without overt neuropsychiatric manifestations","Kozora E, Filley CM, Zhang L, Brown MS, Miller DE, Arciniegas DB, Pelzman JL, West SG.","Lupus. 2012 Apr;21(4):402-11. doi: 10.1177/0961203311429116. Epub 2011 Dec 14.","Kozora E","Lupus","2012","2011/12/16","","","10.1177/0961203311429116"
"28819535","Clinical features and antinuclear antibodies profile among adults with systemic lupus erythematosus and lupus nephritis: a cross-sectional study","Ahmed N, Shigidi M, Al Agib AN, Abdelrahman H, Taha E.","Pan Afr Med J. 2017 Jun 14;27:114. doi: 10.11604/pamj.2017.27.114.5981. eCollection 2017.","Ahmed N","Pan Afr Med J","2017","2017/08/19","PMC5554640","","10.11604/pamj.2017.27.114.5981"
"32500750","Therapeutic peptides for the treatment of systemic lupus erythematosus: a place in therapy","Talotta R, Atzeni F, Laska MJ.","Expert Opin Investig Drugs. 2020 Aug;29(8):845-867. doi: 10.1080/13543784.2020.1777983. Epub 2020 Jul 7.","Talotta R","Expert Opin Investig Drugs","2020","2020/06/06","","","10.1080/13543784.2020.1777983"
"29498293","Functional Connectivity Changes in Systemic Lupus Erythematosus: A Resting-State Study","Nystedt J, Mannfolk P, Jönsen A, Bengtsson A, Nilsson P, Sundgren PC, Strandberg TO.","Brain Connect. 2018 May;8(4):220-234. doi: 10.1089/brain.2017.0557. Epub 2018 Apr 5.","Nystedt J","Brain Connect","2018","2018/03/03","","","10.1089/brain.2017.0557"
"23553777","B cell biology: implications for treatment of systemic lupus erythematosus","Anolik JH.","Lupus. 2013 Apr;22(4):342-9. doi: 10.1177/0961203312471576.","Anolik JH","Lupus","2013","2013/04/05","","","10.1177/0961203312471576"
"22570339","Effects of psychological interventions for patients with systemic lupus erythematosus: a systematic review and meta-analysis","Zhang J, Wei W, Wang CM.","Lupus. 2012 Sep;21(10):1077-87. doi: 10.1177/0961203312447667. Epub 2012 May 8.","Zhang J","Lupus","2012","2012/05/10","","","10.1177/0961203312447667"
"32286471","Systemic lupus erythematosus gastrointestinal involvement: a computed tomography-based assessment","Chen Z, Zhou J, Li J, Zhou Y, Wang X, Li T, Gu L, Sun F, Wu W, Xu W, Sun S, Chen J, Li J, Lu L, Zhang W, Zhao Y, Ye S.","Sci Rep. 2020 Apr 14;10(1):6400. doi: 10.1038/s41598-020-63476-9.","Chen Z","Sci Rep","2020","2020/04/15","PMC7156738","","10.1038/s41598-020-63476-9"
"24819757","Drug-induced lupus erythematosus","Marzano AV, Tavecchio S, Menicanti C, Crosti C.","G Ital Dermatol Venereol. 2014 Jun;149(3):301-9.","Marzano AV","G Ital Dermatol Venereol","2014","2014/05/14","","",""
"32453296","Osteonecrosis and Multifocal Bone Infarction in Systemic Lupus Erythematosus","Thomas J.","J Clin Rheumatol. 2020 Jun;26(4):e77. doi: 10.1097/RHU.0000000000000859.","Thomas J","J Clin Rheumatol","2020","2020/05/27","","","10.1097/RHU.0000000000000859"
"28779080","Endothelial dysfunction in systemic lupus erythematosus - a case-control study and an updated meta-analysis and meta-regression","Mak A, Kow NY, Schwarz H, Gong L, Tay SH, Ling LH.","Sci Rep. 2017 Aug 4;7(1):7320. doi: 10.1038/s41598-017-07574-1.","Mak A","Sci Rep","2017","2017/08/06","PMC5544707","","10.1038/s41598-017-07574-1"
"32105005","Heart rate variability in juvenile systemic lupus erythematosus patients","Başaran Ö, Çetin İİ, Aydın F, Uncu N, Çakar N, Ekici F, Acar BÇ.","Turk J Pediatr. 2019;61(5):733-740. doi: 10.24953/turkjped.2019.05.012.","Başaran Ö","Turk J Pediatr","2019","2020/02/28","","","10.24953/turkjped.2019.05.012"
"28457079","Evolving Concepts in Systemic Lupus Erythematosus","Fanouriakis A, Gergianaki I, Sidiropoulos P, Bertsias G, Boumpas DT.","Isr Med Assoc J. 2016 Dec;18(12):749-753.","Fanouriakis A","Isr Med Assoc J","2016","2017/05/01","","",""
"23535084","Mechanisms of disease for the clinician: systemic lupus erythematosus","Frieri M.","Ann Allergy Asthma Immunol. 2013 Apr;110(4):228-32. doi: 10.1016/j.anai.2012.12.010. Epub 2013 Jan 5.","Frieri M","Ann Allergy Asthma Immunol","2013","2013/03/29","","","10.1016/j.anai.2012.12.010"
"30109714","Symptom clustering in patients with childhood-onset systemic lupus erythematosus","Chiang YC, Huang JL, Wang CH, Lee HC, Lee MY, Hsiao YC.","J Adv Nurs. 2019 Jan;75(1):54-62. doi: 10.1111/jan.13825. Epub 2018 Sep 5.","Chiang YC","J Adv Nurs","2019","2018/08/16","","","10.1111/jan.13825"
"22301032","Pediatric systemic lupus erythematosus: more than a positive antinuclear antibody","Weiss JE.","Pediatr Rev. 2012 Feb;33(2):62-73; quiz 74. doi: 10.1542/pir.33-2-62.","Weiss JE","Pediatr Rev","2012","2012/02/04","","","10.1542/pir.33-2-62"
"33633288","Influenza infection as a trigger for systemic lupus erythematosus flares resulting in hospitalization","Joo YB, Kim KJ, Park KS, Park YJ.","Sci Rep. 2021 Feb 25;11(1):4630. doi: 10.1038/s41598-021-84153-5.","Joo YB","Sci Rep","2021","2021/02/26","PMC7907068","","10.1038/s41598-021-84153-5"
"25253567","Clinical and electrophysiological characteristics of symmetric polyneuropathy in a cohort of systemic lupus erythematosus patients","Jasmin R, Sockalingam S, Ramanaidu LP, Goh KJ.","Lupus. 2015 Mar;24(3):248-55. doi: 10.1177/0961203314552115. Epub 2014 Sep 24.","Jasmin R","Lupus","2015","2014/09/26","","","10.1177/0961203314552115"
"35841921","Neuropsychiatric manifestations in childhood-onset systemic lupus erythematosus","Appenzeller S, Pereira DR, Julio PR, Reis F, Rittner L, Marini R.","Lancet Child Adolesc Health. 2022 Aug;6(8):571-581. doi: 10.1016/S2352-4642(22)00157-2.","Appenzeller S","Lancet Child Adolesc Health","2022","2022/07/16","","","10.1016/S2352-4642(22)00157-2"
"27762204","Health information technologies in systemic lupus erythematosus: focus on patient assessment","Tani C, Trieste L, Lorenzoni V, Cannizzo S, Turchetti G, Mosca M.","Clin Exp Rheumatol. 2016 Sep-Oct;34(5 Suppl 101):S54-S56. Epub 2016 Oct 18.","Tani C","Clin Exp Rheumatol","2016","2016/10/21","","",""
"25343158","Clinical inquiry. What treatments relieve arthritis and fatigue associated with systemic lupus erythematosus?","Jones DW, Wright D, Jankowski TA.","J Fam Pract. 2014 Oct;63(10):607-17.","Jones DW","J Fam Pract","2014","2014/10/25","","",""
"28795653","Reliability of the SF-36 in Japanese patients with systemic lupus erythematosus and its associations with disease activity and damage: a two-consecutive year prospective study","Baba S, Katsumata Y, Okamoto Y, Kawaguchi Y, Hanaoka M, Kawasumi H, Yamanaka H.","Lupus. 2018 Mar;27(3):407-416. doi: 10.1177/0961203317725586. Epub 2017 Aug 10.","Baba S","Lupus","2018","2017/08/11","","","10.1177/0961203317725586"
"22607181","Utilizing registries in systemic lupus erythematosus clinical research","Villa-Blanco I, Calvo-Alén J.","Expert Rev Clin Immunol. 2012 May;8(4):353-60. doi: 10.1586/eci.12.20.","Villa-Blanco I","Expert Rev Clin Immunol","2012","2012/05/22","","","10.1586/eci.12.20"
"34890808","Systemic lupus erythematosus - Are children miniature adults?","Alexander T, Hedrich CM.","Clin Immunol. 2022 Jan;234:108907. doi: 10.1016/j.clim.2021.108907. Epub 2021 Dec 8.","Alexander T","Clin Immunol","2022","2021/12/10","","","10.1016/j.clim.2021.108907"
"22505314","Self-efficacy and pain catastrophizing in systemic lupus erythematosus: relationship to pain, stiffness, fatigue, and psychological distress","Somers TJ, Kurakula PC, Criscione-Schreiber L, Keefe FJ, Clowse ME.","Arthritis Care Res (Hoboken). 2012 Sep;64(9):1334-40. doi: 10.1002/acr.21686.","Somers TJ","Arthritis Care Res (Hoboken)","2012","2012/04/17","","","10.1002/acr.21686"
"24100008","Overview of neonatal lupus","Johnson B.","J Pediatr Health Care. 2014 Jul-Aug;28(4):331-41. doi: 10.1016/j.pedhc.2013.07.015. Epub 2013 Oct 5.","Johnson B","J Pediatr Health Care","2014","2013/10/09","","","10.1016/j.pedhc.2013.07.015"
"21959137","Kawasaki disease and juvenile systemic lupus erythematosus","Diniz JC, Almeida RT, Aikawa NE, Sallum AM, Sakane PT, Silva CA.","Lupus. 2012 Jan;21(1):89-92. doi: 10.1177/0961203311414097. Epub 2011 Sep 29.","Diniz JC","Lupus","2012","2011/10/01","","","10.1177/0961203311414097"
"24902607","Pharmacological regulators of autophagy and their link with modulators of lupus disease","Gros F, Muller S.","Br J Pharmacol. 2014 Oct;171(19):4337-59. doi: 10.1111/bph.12792. Epub 2014 Sep 5.","Gros F","Br J Pharmacol","2014","2014/06/07","PMC4209143","","10.1111/bph.12792"
"30415452","Self-reported disease severity in women with systemic lupus erythematosus","Dima A, Caraiola S, Delcea C, Ionescu RA, Jurcut C, Badea C.","Rheumatol Int. 2019 Mar;39(3):533-539. doi: 10.1007/s00296-018-4203-1. Epub 2018 Nov 10.","Dima A","Rheumatol Int","2019","2018/11/12","","","10.1007/s00296-018-4203-1"
"23889785","Lupus erythematosus. Part I: epidemiology, genetics and immunology","Kunz M.","J Dtsch Dermatol Ges. 2013 Aug;11(8):709-19; quiz 720, 709-720; quiz 721. doi: 10.1111/ddg.12165.","Kunz M","J Dtsch Dermatol Ges","2013","2013/07/30","","","10.1111/ddg.12165"
"23846231","Posterior reversible encephalopathy syndrome in Korean patients with systemic lupus erythematosus: risk factors and clinical outcome","Jung SM, Moon SJ, Kwok SK, Ju JH, Park KS, Park SH, Kim HY.","Lupus. 2013 Aug;22(9):885-91. doi: 10.1177/0961203313496341. Epub 2013 Jul 11.","Jung SM","Lupus","2013","2013/07/13","","","10.1177/0961203313496341"
"26981547","The Role of γδ T Cells in Systemic Lupus Erythematosus","Wu M, Yang J, Li X, Chen J.","J Immunol Res. 2016;2016:2932531. doi: 10.1155/2016/2932531. Epub 2016 Feb 11.","Wu M","J Immunol Res","2016","2016/03/17","PMC4766344","","10.1155/2016/2932531"
"22718868","Systemic lupus erythematosus disease activity Index 2000 Responder Index 50: sensitivity to response at 6 and 12 months","Touma Z, Urowitz MB, Taghavi-Zadeh S, Ibañez D, Gladman DD.","Rheumatology (Oxford). 2012 Oct;51(10):1814-9. doi: 10.1093/rheumatology/kes146. Epub 2012 Jun 19.","Touma Z","Rheumatology (Oxford)","2012","2012/06/22","","","10.1093/rheumatology/kes146"
"31395849","Altered Olfactory Function in Patients with Systemic Lupus Erythematosus","Chen Q, Qiu F, Liu H, Li X, Li J.","Med Sci Monit. 2019 Aug 9;25:5929-5933. doi: 10.12659/MSM.915738.","Chen Q","Med Sci Monit","2019","2019/08/10","PMC6699201","","10.12659/MSM.915738"
"23253915","Recent insights into the genetic basis of systemic lupus erythematosus","Rullo OJ, Tsao BP.","Ann Rheum Dis. 2013 Apr;72 Suppl 2(0 2):ii56-61. doi: 10.1136/annrheumdis-2012-202351. Epub 2012 Dec 19.","Rullo OJ","Ann Rheum Dis","2013","2012/12/21","PMC3780983","NIHMS512599","10.1136/annrheumdis-2012-202351"
"27009542","DNA-damaging autoantibodies and cancer: the lupus butterfly theory","Noble PW, Bernatsky S, Clarke AE, Isenberg DA, Ramsey-Goldman R, Hansen JE.","Nat Rev Rheumatol. 2016 Jul;12(7):429-34. doi: 10.1038/nrrheum.2016.23. Epub 2016 Mar 24.","Noble PW","Nat Rev Rheumatol","2016","2016/03/25","","","10.1038/nrrheum.2016.23"
"22212605","The impact of obesity in systemic lupus erythematosus on disease parameters, quality of life, functional capacity and the risk of atherosclerosis","Rizk A, Gheita TA, Nassef S, Abdallah A.","Int J Rheum Dis. 2012 Jun;15(3):261-7. doi: 10.1111/j.1756-185X.2011.01698.x.","Rizk A","Int J Rheum Dis","2012","2012/01/04","","","10.1111/j.1756-185X.2011.01698.x"
"24763535","The effects of lupus and antiphospholipid antibody syndrome on foetal outcomes","Nalli C, Iodice A, Andreoli L, Lojacono A, Motta M, Fazzi E, Tincani A.","Lupus. 2014 May;23(6):507-17. doi: 10.1177/0961203313501402.","Nalli C","Lupus","2014","2014/04/26","","","10.1177/0961203313501402"
"31539097","Echocardiographic characteristics of cardiac involvement in Systemic lupus erythematosus","Drissa M, Helali S, Amani F, Chebbi M, Mechri M, Drissa H.","Tunis Med. 2019 Feb;97(2):373-378.","Drissa M","Tunis Med","2019","2019/09/21","","",""
"27858177","Age of onset influences on clinical and laboratory profile of patients with systemic lupus erythematosus","Sassi RH, Hendler JV, Piccoli GF, Gasparin AA, da Silva Chakr RM, Brenol JC, Monticielo OA.","Clin Rheumatol. 2017 Jan;36(1):89-95. doi: 10.1007/s10067-016-3478-4. Epub 2016 Nov 17.","Sassi RH","Clin Rheumatol","2017","2016/11/19","","","10.1007/s10067-016-3478-4"
"23110754","Endothelial function and arterial stiffness assessment as early surrogate markers of vascular risk in patients with systemic lupus erythematosus","Chin CW, Tan RS, Thumboo J.","Clin Exp Rheumatol. 2013 Mar-Apr;31(2):295-301. Epub 2012 Oct 30.","Chin CW","Clin Exp Rheumatol","2013","2012/11/01","","",""
"22354537","Clinical implications and prognostic significance of thrombocytopenia in Tunisian patients with systemic lupus erythematosus","Jallouli M, Frigui M, Marzouk S, Snoussi M, Kechaou M, Kaddour N, Masmoudi H, Elloumi M, Bahloul Z.","Lupus. 2012 May;21(6):682-7. doi: 10.1177/0961203312438630. Epub 2012 Feb 21.","Jallouli M","Lupus","2012","2012/02/23","","","10.1177/0961203312438630"
"31382851","One-decade study of distinct features, morbidity and mortality of systemic lupus erythematosus (an update on systemic lupus erythematosus in the Fars Province of Iran)","Esmaeilzadeh E, Khodamoradi Z, Nazarinia MA.","Lupus. 2019 Oct;28(11):1360-1367. doi: 10.1177/0961203319866506. Epub 2019 Aug 5.","Esmaeilzadeh E","Lupus","2019","2019/08/07","","","10.1177/0961203319866506"
"31399014","Autoantibodies in SLE: prediction and the p value matrix","Choi MY, Fritzler MJ.","Lupus. 2019 Oct;28(11):1285-1293. doi: 10.1177/0961203319868531. Epub 2019 Aug 9.","Choi MY","Lupus","2019","2019/08/11","","","10.1177/0961203319868531"
"32605530","Sexual dysfunction in Egyptian females with systemic lupus erythematosus: a cross sectional study","Dorgham D, Haggag HM, Attia DH.","Lupus. 2020 Aug;29(9):1085-1094. doi: 10.1177/0961203320935518. Epub 2020 Jun 30.","Dorgham D","Lupus","2020","2020/07/02","","","10.1177/0961203320935518"
"23412817","Vascular manifestations of systemic lupus erythematosis","Radic M, Martinovic Kaliterna D, Radic J.","Neth J Med. 2013 Jan;71(1):10-6.","Radic M","Neth J Med","2013","2013/02/16","","",""
"23943987","Central nervous system involvement in systemic lupus erythematosus: an imaging challenge","Gal Y, Twig G, Mozes O, Greenberg G, Hoffmann C, Shoenfeld Y.","Isr Med Assoc J. 2013 Jul;15(7):382-6.","Gal Y","Isr Med Assoc J","2013","2013/08/16","","",""
"26743322","Progressive multifocal leukoencephalopathy in patients with systemic lupus erythematosus: a systematic literature review","Henegar CE, Eudy AM, Kharat V, Hill DD, Bennett D, Haight B.","Lupus. 2016 May;25(6):617-26. doi: 10.1177/0961203315622819. Epub 2016 Jan 6.","Henegar CE","Lupus","2016","2016/01/09","","","10.1177/0961203315622819"
"34563395","[Importance of cognitive disorders in internal medicine: Pathophysiology, diagnosis, management. The example of systemic lupus erythematosus]","Peter E, Robert M, Guinet V, Krolak-Salmon P, Desestret V, Jacquin-Courtois S, Cohen F, Sève P, Garnier-Crussard A.","Rev Med Interne. 2022 Jan;43(1):39-47. doi: 10.1016/j.revmed.2021.08.012. Epub 2021 Sep 22.","Peter E","Rev Med Interne","2022","2021/09/26","","","10.1016/j.revmed.2021.08.012"
"27666898","Peripheral Neuropathy in Systemic Lupus Erythematosus: Clinical and Electrophysiological Properties and their Association with Disease Activity Parameters","Saigal R, Bhargav R, Goyal L, Agrawal A, Mital P, Wadhwani D.","J Assoc Physicians India. 2015 Dec;63(12):15-19.","Saigal R","J Assoc Physicians India","2015","2016/09/27","","",""
"21431943","Visceral muscle dysmotility syndrome in systemic lupus erythematosus: case report and review of the literature","Chen YQ, Xue Q, Wang NS.","Rheumatol Int. 2012 Jun;32(6):1701-3. doi: 10.1007/s00296-011-1856-4. Epub 2011 Mar 24.","Chen YQ","Rheumatol Int","2012","2011/03/25","","","10.1007/s00296-011-1856-4"
"29320971","The effect of nutritional intervention on the lipid profile and dietary intake of adolescents with juvenile systemic lupus erythematosus: a randomized, controlled trial","da Silva SGL, Terreri MT, Abad TTO, Machado D, Fonseca FLA, Hix S, Suano-Souza FI, Sarni ROS, Len CA.","Lupus. 2018 Apr;27(5):820-827. doi: 10.1177/0961203317751851. Epub 2018 Jan 10.","da Silva SGL","Lupus","2018","2018/01/12","","","10.1177/0961203317751851"
"26616866","Anti-aquaporin-4 autoantibodies in systemic lupus erythematosus persist for years and induce astrocytic cytotoxicity but not CNS disease","Alexopoulos H, Kampylafka EI, Fouka P, Tatouli I, Akrivou S, Politis PK, Moutsopoulos HM, Tzioufas AG, Dalakas MC.","J Neuroimmunol. 2015 Dec 15;289:8-11. doi: 10.1016/j.jneuroim.2015.10.007. Epub 2015 Oct 13.","Alexopoulos H","J Neuroimmunol","2015","2015/12/01","","","10.1016/j.jneuroim.2015.10.007"
"28066709","Alterations of white matter structural networks in patients with non-neuropsychiatric systemic lupus erythematosus identified by probabilistic tractography and connectivity-based analyses","Xu M, Tan X, Zhang X, Guo Y, Mei Y, Feng Q, Xu Y, Feng Y.","Neuroimage Clin. 2016 Dec 20;13:349-360. doi: 10.1016/j.nicl.2016.12.021. eCollection 2017.","Xu M","Neuroimage Clin","2016","2017/01/10","PMC5200918","","10.1016/j.nicl.2016.12.021"
"27214378","Disease Outcomes in Glucocorticosteroid-Naive Patients With Systemic Lupus Erythematosus","Sheane BJ, Gladman DD, Su J, Urowitz MB.","Arthritis Care Res (Hoboken). 2017 Feb;69(2):252-256. doi: 10.1002/acr.22938.","Sheane BJ","Arthritis Care Res (Hoboken)","2017","2016/05/24","","","10.1002/acr.22938"
"24640671","[Myocardial remodeling in systemic lupus erythematosus and systemic scleroderma]","Shilkina NP, Driazhenkova IV.","Ter Arkh. 2013;85(12):65-70.","Shilkina NP","Ter Arkh","2013","2014/03/20","","",""
"23528620","Cardiovascular benefits of habitual exercise in systemic lupus erythematosus: a review","Barnes JN, Tanaka H.","Phys Sportsmed. 2012 Sep;40(3):43-8. doi: 10.3810/psm.2012.09.1980.","Barnes JN","Phys Sportsmed","2012","2013/03/27","","","10.3810/psm.2012.09.1980"
"28420069","Cathelicidin (LL-37) and its correlation with pro-oxidant, antioxidant balance and disease activity in systemic lupus erythematosus: a cross-sectional human study","Sahebari M, Roshandel G, Saadati N, Saghafi M, Abdolahi N, Rezaieyazdi Z.","Lupus. 2017 Aug;26(9):975-982. doi: 10.1177/0961203317691368. Epub 2017 Mar 17.","Sahebari M","Lupus","2017","2017/04/20","","","10.1177/0961203317691368"
"24296678","Autoantibodies and SLE: the threshold for disease","Olsen NJ, Karp DR.","Nat Rev Rheumatol. 2014 Mar;10(3):181-6. doi: 10.1038/nrrheum.2013.184. Epub 2013 Dec 3.","Olsen NJ","Nat Rev Rheumatol","2014","2013/12/04","","","10.1038/nrrheum.2013.184"
"27605369","Lupus and lupoid misnomer: issues and challenges","Pourazizi M, Kabiri S, Saffaei A, Abtahi-Naeini B.","Lupus. 2017 Jan;26(1):6-9. doi: 10.1177/0961203316665711. Epub 2016 Sep 6.","Pourazizi M","Lupus","2017","2016/09/09","","","10.1177/0961203316665711"
"22422802","Pathophysiology of Q waves in II, III, avF in systemic lupus erythematosus. Evaluation using cardiovascular magnetic resonance imaging","Mavrogeni S, Bratis K, Kolovou G.","Lupus. 2012 Jul;21(8):821-9. doi: 10.1177/0961203312437437. Epub 2012 Mar 15.","Mavrogeni S","Lupus","2012","2012/03/17","","","10.1177/0961203312437437"
"24838943","Electrocardiographic findings in systemic lupus erythematosus: data from an international inception cohort","Bourré-Tessier J, Urowitz MB, Clarke AE, Bernatsky S, Krantz MJ, Huynh T, Joseph L, Belisle P, Bae SC, Hanly JG, Wallace DJ, Gordon C, Isenberg D, Rahman A, Gladman DD, Fortin PR, Merrill JT, Romero-Diaz J, Sanchez-Guerrero J, Fessler B, Alarcón GS, Steinsson K, Bruce IN, Ginzler E, Dooley MA, Nived O, Sturfelt G, Kalunian K, Ramos-Casals M, Petri M, Zoma A, Pineau CA.","Arthritis Care Res (Hoboken). 2015 Jan;67(1):128-35. doi: 10.1002/acr.22370.","Bourré-Tessier J","Arthritis Care Res (Hoboken)","2015","2014/05/20","","","10.1002/acr.22370"
"32842866","Ambulatory blood pressure in patients with systemic lupus erythematosus: Association with markers of immune activation","Carranza-Leon DA, Oeser A, Wu Q, Stein CM, Ormseth MJ, Chung CP.","Lupus. 2020 Nov;29(13):1683-1690. doi: 10.1177/0961203320951274. Epub 2020 Aug 25.","Carranza-Leon DA","Lupus","2020","2020/08/27","PMC7642148","NIHMS1616697","10.1177/0961203320951274"
"21120501","Correlation between serum concentrations of soluble Fas (CD95/Apo-1) and IL-18 in patients with systemic lupus erythematosus","Sahebari M, Rezaieyazdi Z, Nakhjavani MJ, Hatef M, Mahmoudi M, Akhlaghi S.","Rheumatol Int. 2012 Mar;32(3):601-6. doi: 10.1007/s00296-010-1633-9. Epub 2010 Dec 1.","Sahebari M","Rheumatol Int","2012","2010/12/02","","","10.1007/s00296-010-1633-9"
"28635303","Increased Pulse Wave Velocity in Systemic Lupus Erythematosus: A Meta-Analysis","Wang P, Mao YM, Zhao CN, Liu LN, Li XM, Li XP, Pan HF.","Angiology. 2018 Mar;69(3):228-235. doi: 10.1177/0003319717715964. Epub 2017 Jun 21.","Wang P","Angiology","2018","2017/06/22","","","10.1177/0003319717715964"
"23358829","New-onset systemic lupus erythematosus during pregnancy","Zhao C, Zhao J, Huang Y, Wang Z, Wang H, Zhang H, Xu H, Yang N.","Clin Rheumatol. 2013 Jun;32(6):815-22. doi: 10.1007/s10067-013-2180-z. Epub 2013 Jan 29.","Zhao C","Clin Rheumatol","2013","2013/01/30","","","10.1007/s10067-013-2180-z"
"24906588","A novel model for exploring the correlation between patterns and prescriptions in clinical practice of traditional Chinese medicine for systemic lupus erythematosus","Liu CY, Wu WH, Huang TP, Lee TY, Chang HH.","Complement Ther Med. 2014 Jun;22(3):481-8. doi: 10.1016/j.ctim.2014.03.006. Epub 2014 Mar 25.","Liu CY","Complement Ther Med","2014","2014/06/08","","","10.1016/j.ctim.2014.03.006"
"23441766","Belimumab: targeted therapy for lupus","Chugh PK, Kalra BS.","Int J Rheum Dis. 2013 Feb;16(1):4-13. doi: 10.1111/1756-185x.12002. Epub 2012 Oct 19.","Chugh PK","Int J Rheum Dis","2013","2013/02/28","","","10.1111/1756-185x.12002"
"27049836","Association of depressive/anxiety symptoms with quality of life and work ability in patients with systemic lupus erythematosus","Mok CC, Chan KL, Ho LY.","Clin Exp Rheumatol. 2016 May-Jun;34(3):389-95. Epub 2016 Mar 25.","Mok CC","Clin Exp Rheumatol","2016","2016/04/07","","",""
"23441773","Systemic lupus erythematosus in Saudi children: long-term outcomes","Al-Mayouf SM.","Int J Rheum Dis. 2013 Feb;16(1):56-60. doi: 10.1111/1756-185x.12020. Epub 2012 Dec 7.","Al-Mayouf SM","Int J Rheum Dis","2013","2013/02/28","","","10.1111/1756-185x.12020"
"24011222","Low dynamic muscle strength and its associations with fatigue, functional performance, and quality of life in premenopausal patients with systemic lupus erythematosus and low disease activity: a case-control study","Balsamo S, da Mota LM, de Carvalho JF, Nascimento Dda C, Tibana RA, de Santana FS, Moreno RL, Gualano B, dos Santos-Neto L.","BMC Musculoskelet Disord. 2013 Sep 8;14:263. doi: 10.1186/1471-2474-14-263.","Balsamo S","BMC Musculoskelet Disord","2013","2013/09/10","PMC3847135","","10.1186/1471-2474-14-263"
"23864877","The correlations of disease activity, socioeconomic status, quality of life, and depression/anxiety in Chinese patients with systemic lupus erythematosus","Shen B, Tan W, Feng G, He Y, Liu J, Chen W, Huang X, Da Z, Xu X, Liu H, Gu Z.","Clin Dev Immunol. 2013;2013:270878. doi: 10.1155/2013/270878. Epub 2013 Jun 20.","Shen B","Clin Dev Immunol","2013","2013/07/19","PMC3705842","","10.1155/2013/270878"
"24803303","Function of the audiovestibular system in children with systemic lupus erythematosus","Gad GI, Abdelateef H.","Curr Allergy Asthma Rep. 2014 Jul;14(7):446. doi: 10.1007/s11882-014-0446-4.","Gad GI","Curr Allergy Asthma Rep","2014","2014/05/08","","","10.1007/s11882-014-0446-4"
"23306163","Serum cystatin C is independently associated with renal impairment and high sensitivity C-reactive protein in systemic lupus erythematosus","Chew C, Pemberton PW, Husain AA, Haque S, Bruce IN.","Clin Exp Rheumatol. 2013 Mar-Apr;31(2):251-5. Epub 2012 Dec 17.","Chew C","Clin Exp Rheumatol","2013","2013/01/12","","",""
"24097996","Premature coronary heart disease in systemic lupus erythematosus: what risk factors do we understand?","Nikpour M, Gladman DD, Urowitz MB.","Lupus. 2013 Oct;22(12):1243-50. doi: 10.1177/0961203313493031.","Nikpour M","Lupus","2013","2013/10/08","","","10.1177/0961203313493031"
"26223085","Is B Cell-Targeted Therapy Effective in Systemic Lupus Erythematosus?","Paran D, Naparstek Y.","Isr Med Assoc J. 2015 Feb;17(2):98-103.","Paran D","Isr Med Assoc J","2015","2015/07/31","","",""
"30968556","Work disability in a multi-ethnic Malaysian systemic lupus erythematosus cohort: A cross-sectional study","Abu Bakar F, Shaharir SS, Mohd R, Kamaruzaman L, Mohamed Said MS.","Int J Rheum Dis. 2019 Jun;22(6):1002-1007. doi: 10.1111/1756-185X.13572. Epub 2019 Apr 10.","Abu Bakar F","Int J Rheum Dis","2019","2019/04/11","","","10.1111/1756-185X.13572"
"31018871","Critical limb ischemia in a patient with systemic lupus erythematosus: a case report","Damay V, Wiharja W, Pranata R, Aziz M.","J Med Case Rep. 2019 Apr 25;13(1):114. doi: 10.1186/s13256-019-2024-9.","Damay V","J Med Case Rep","2019","2019/04/26","PMC6482571","","10.1186/s13256-019-2024-9"
"25358884","New classification criteria for systemic lupus erythematosus correlate with disease activity","Anić F, Zuvić-Butorac M, Stimac D, Novak S.","Croat Med J. 2014 Oct;55(5):514-9. doi: 10.3325/cmj.2014.55.514.","Anić F","Croat Med J","2014","2014/11/01","PMC4228292","","10.3325/cmj.2014.55.514"
"22345120","What do we know about self-reported fatigue in systemic lupus erythematosus?","Cleanthous S, Tyagi M, Isenberg DA, Newman SP.","Lupus. 2012 Apr;21(5):465-76. doi: 10.1177/0961203312436863. Epub 2012 Feb 16.","Cleanthous S","Lupus","2012","2012/02/21","","","10.1177/0961203312436863"
